name,app_id
Aliya: Timelink,2704110
Underground Blossom,2291850
Magic Archery,2905170
Digseum,3361470
Monument Valley: Panoramic Edition,1927720
Epic Battle Fantasy 5,432350
Riddle Joker,1277930
Crow Country,1996010
WITCH ON THE HOLY NIGHT,2052410
Purrgatory,1713610
Illusion Carnival,2796340
I Wani Hug that Gator!,1895350
Summer Pockets,897220
The Supper,1171370
Café Stella and the Reaper's Butterflies,1829980
DORONKO WANKO,2512840
Katawa Shoujo,3068300
A Building Full of Cats,1969080
Felvidek,2299900
eden*,315810
I Am Your Beast,1876590
Threefold Recital,3084280
Milo and the Magpies,1407420
Picayune Dreams,2088840
planetarian HD,623080
The Mr. Rabbit Magic Show,3472550
Just a To the Moon Series Beach Episode,2159210
White Knuckle,3195790
Scarlet Hollow,1609230
Monster Prom 3: Monster Roadtrip,1665190
Handshakes,2171690
Cureocity,2612680
Epic Battle Fantasy 4,265610
OneShot: World Machine Edition,2915460
Loddlenaut,1644940
Papa's Pizzeria Deluxe,3259470
Path of Achra,2128270
Sucker for Love: First Date,1574270
Your Turn To Die -Death Game By Majority-,2067780
TY the Tasmanian Tiger,411960
Hello Charlotte EP3: Childhood's End,760890
Epiphyllum in Love,1161870
CATO: Buttered Cat,1999520
Sizeable,1333910
Smile For Me,1018850
Mirage Feathers,2719060
The Powder Toy,1148350
It Steals,1349060
Mizi NO!,2654860
NUKITASHI 2,2614070
BRAZILIAN DRUG DEALER 3: I OPENED A PORTAL TO HELL IN THE FAVELA TRYING TO REVIVE MIT AIA I NEED TO CLOSE IT,3191050
Don't Escape: 4 Days to Survive,611760
BLACK BOX LSS - The Shining Immortal,2434340
The Children of Clay,3478700
StarVaders,2097570
Frog Detective 3: Corruption at Cowboy County,1171320
Cats and Seek: Osaka,2672090
Homicipher: Demo,2423320
last seen online,2824230
9-nine-:Episode 2,1033420
Endless Monday: Dreams and Deadlines,2262610
Sudocats,1725640
Stray Cats in Cozy Town,2901140
A Space For The Unbound - Prologue,1201280
Orbo's Odyssey,2539960
Perspective,1109410
Dogs Organized Neatly,1597730
ARMORED HEAD,805590
9-nine-:Episode 4,1424660
Sorry We're Closed,1796580
Submachine: Legacy,1564790
Yellow Taxi Goes Vroom,2011780
Aokana - Four Rhythms Across the Blue - EXTRA1,1340130
420BLAZEIT 2: GAME OF THE YEAR -=Dank Dreams and Goated Memes=- [#wow/11 Like and Subscribe] Poggerz Edition,2624280
Cats Hidden in Bali,2356500
Cats Hidden in Maple Hollow 🍂,2551170
Zodiacats,1817000
Dreamlike Love with Seira,2986260
Cats and Seek: Kyoto,2845320
Ambidextro,3445580
"Take me, Vitaly",2144590
Pajama Sam: No Need to Hide When It's Dark Outside,283960
Perfect Gold - Yuri Visual Novel,578540
Kukoro: Stream chat games,1166990
Snail Simulator,1500740
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,472870
Letters From a Rainy Day -Oceans and Lace-,1637370
Little Busters! English Edition,635940
BoardLand,2735620
Linelith,1923790
Twinsen's Little Big Adventure 2 Classic,398000
Ever Seen A Cat?,1733060
The Legend of Heroes: Trails to Azure,1668520
Black Gunner Wukong: Prologue,2095890
The Zachtronics Solitaire Collection,1988540
BLUE REVOLVER,439490
I Frog-ot,2226870
4D Golf,2147950
Flowers -Le volume sur automne-,1238730
Aero GPX,2160360
The Test: Secrets of the Soul 2,2349550
Deep Sleep Trilogy,1146510
Cats Hidden in China,2608040
Hira Hira Hihiru,2314820
Yoiyami Dancers: Twilight Danmaku Dancers,1998530
Dunjungle,1589570
Voxelgram,1158470
Dawnsbury Days,2693730
Bahamut2-dragon's bride,1673190
Recursed,497780
Annalynn,1508460
Penko Park,852090
Slender Threads: Prologue,1682490
Terraria,105600
Left 4 Dead 2,550
Euro Truck Simulator 2,227300
Lethal Company,1966720
Hollow Knight,367520
Bloons TD 6,960090
The Binding of Isaac: Rebirth,250900
BeamNG.drive,284160
Subnautica,264710
Deep Rock Galactic,548430
Satisfactory,526870
Half-Life 2,220
RimWorld,294100
Factorio,427520
Slay the Spire,646570
ULTRAKILL,1229490
Dead Cells,588650
Stray,1332010
Mount & Blade: Warband,48700
Plants vs. Zombies GOTY Edition,3590
Totally Accurate Battle Simulator,508440
Helltaker,1289310
Slime Rancher,433340
Balatro,2379780
Resident Evil 4,2050650
Resident Evil 2,883710
DAVE THE DIVER,1868140
Celeste,504230
Hotline Miami,219150
Dyson Sphere Program,1366540
OMORI,1150690
Ravenfield,636480
"Papers, Please",239030
Persona 4 Golden,1113000
Dishonored,205100
INSIDE,304430
South Park™: The Stick of Truth™,213670
BattleBlock Theater®,238460
WEBFISHING,3146520
Split Fiction,2001120
Broforce,274190
The Walking Dead,207610
PowerWash Simulator,1290000
Volcano Princess,1669980
Firework,1288310
TCG Card Shop Simulator,3070070
SANABI,1562700
STAR WARS™ Empire at War - Gold Pack,32470
VA-11 Hall-A: Cyberpunk Bartender Action,447530
Phoenix Wright: Ace Attorney Trilogy,787480
The Wolf Among Us,250320
The Room,288160
Hi-Fi RUSH,1817230
Touhou Mystia's Izakaya,1584090
Duck Game,312530
Wobbly Life,1211020
Pineapple on pizza,2263010
The Murder of Sonic the Hedgehog,2324650
Crab Champions,774801
Slay the Princess — The Pristine Cut,1989270
There Is No Game: Wrong Dimension,1240210
Bongo Cat,3419430
"Hot Dogs, Horseshoes & Hand Grenades",450540
Crime Scene Cleaner,1040200
Sally Face - Episode One,541570
DUSK,519860
Just Shapes & Beats,531510
STEINS;GATE,412830
The Room Two,425580
Fields of Mistria,2142790
Tiny Glade,2198150
The Expendabros,312990
Super Hexagon,221640
Iron Snout,424280
Milk outside a bag of milk outside a bag of milk,1604000
Fran Bow,362680
Finding Paradise,337340
Gorogoa,557600
Stronghold Crusader HD (2012),40970
Bopl Battle,1686940
Before Your Eyes,1082430
Mon Bazou,1520370
Placid Plastic Duck Simulator,1999360
Outcore: Desktop Adventure,1275670
The Looker,1985690
MADNESS: Project Nexus,488860
ATLYSS,2768430
Zup! S,617670
Pseudoregalia,2365810
Murders on the Yangtze River,1746030
Tales of the Black Forest,1093910
Keep Talking and Nobody Explodes,341800
Touhou Luna Nights,851100
Webbed,1390350
The Last Campfire,990630
Kingdom Rush  - Tower Defense,246420
Eternal Senia,351640
Nodebuster,3107330
NEKOPARA Vol. 3,602520
Spirit City: Lofi Sessions,2113850
NEKOPARA Vol. 2,420110
Cube Escape: Paradox,909080
Virtual Cottage,1369320
Gunpoint,206190
SONIC X SHADOW GENERATIONS,2513280
Post Void,1285670
Peggle Deluxe,3480
Goat Simulator 3,850190
West of Loathing,597220
Samsara Room,1281800
Winter Memories,2495450
WolfQuest: Anniversary Edition,926990
Nubby's Number Factory,3191030
Until Then,1574820
NEKOPARA Vol. 4,1406990
Hook,367580
100 Asian Cats,2667970
Rabbit and Steel,2132850
BAD END THEATER,1764390
Hidden Folks,435400
At Home Alone Final,1740100
Star Fetchers,1178030
SuchArt: Creative Space,1469280
Rusty Lake: Roots,532110
Baldi's Basics Plus,1275890
Far Away,1250760
Bugsnax,674140
Marco & The Galaxy Dragon,1202540
MULLET MADJACK,2111190
Psychopomp,2771670
Carto,1172450
BABBDI,2240530
Dungeon Munchies,799640
Bloody Hell,2056220
Touhou Hero of Ice Fairy,1955830
The Test: Hypothesis Rising,1282200
Alpaca Stacka,1655140
A Space for the Unbound,1201270
Minishoot' Adventures,1634860
Snake Force,1806040
In Stars And Time,1677310
Alba: A Wildlife Adventure,1337010
Fallen Aces,1411910
Echo Point Nova,1836730
The Test: Final Revelation,1428310
Fox Hime Zero,844930
Vampires' Melody,1377360
Mad Father,483980
Monster Prom 2: Monster Camp,1140270
Minami Lane,2678990
Opus Magnum,558990
Kindergarten 2,1067850
Bug Fables: The Everlasting Sapling,1082710
Outpath: First Journey,2237980
Ghost Trick: Phantom Detective,1967430
Aokana - Four Rhythms Across the Blue,1044620
Disfigure,2083160
Lethal League Blaze,553310
HROT,824600
Cats Organized Neatly,1369340
DICEOMANCER,2501600
Zup! Z,1218900
Hexcells Infinite,304410
Tukoni: Prologue,1419860
Class of '09: The Re-Up,2318310
Aviassembly,2660460
Spin Rhythm XD,1058830
Grimhook,2667430
SuchArt: Genius Artist Simulator,1293180
The Room VR: A Dark Matter,1104380
1000xRESIST,1675830
Coloring Game 2,1216200
NEKOPARA Extra,899970
Fluffy Store,1038740
100 Capitalist Cats,2743080
Day of the Tentacle Remastered,388210
Touhou Hero of Ice Fairy: Prologue,1715460
The Legend of Heroes: Trails in the Sky SC,251290
TIS-100,370360
Psychopomp GOLD,3243190
Chicory: A Colorful Tale,1123450
Walkabout Mini Golf VR,1408230
Princess Remedy in a World of Hurt,407900
Peaks of Yore,2236070
Pages of Time: Prologue,2207540
Master Of Pottery,1160490
Hylics 2,1286710
Emberward,2459550
Chop Goblins,1935660
Railroader,1683150
Snufkin: Melody of Moominvalley,1808680
100 Ninja Cats,2776810
Will You Snail?,1115050
Insomnia: Theater in the Head,2085360
Unsorted Horror,2433730
The Roottrees are Dead,2754380
Beacon Pines,1269640
Lily's Well,1834870
Swallow the Sea,1511860
TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,1031480
Garden Galaxy,1970460
Ace Attorney Investigations Collection,2401970
Tinykin,1599020
Neighbours from Hell Compilation,260750
Miracle Snack Shop,995460
UNDERDOGS,2441700
Feeding Frenzy 2 Deluxe,3390
Leap Year,2951770
Coffee Talk Episode 2: Hibiscus & Butterfly,1663220
Stella of The End,2510770
AVICII Invector,986800
COMPOUND,615120
fault - milestone two side:above,344770
Resonance of the Ocean,2057080
Bing in Wonderland,1710100
Knights College,1510030
Hello Charlotte EP2: Requiem Aeternam Deo,557630
Sakuya Izayoi Gives You Advice And Dabs,1232180
Yasuke Simulator,3272300
Save Room - Organization Puzzle,1955330
Crypt Custodian,2394650
A Taste of the Past,1706930
inbento,1567440
I MAED A GAM3 W1TH Z0MB1ES 1N IT!!!1,1800730
Brutal Orchestra,1734320
No Time,1043340
Backyard Baseball '97,3170540
Cats Hidden in Italy,2313240
异常 | Exception,621000
A Park Full of Cats,2610090
The Test: Secrets of the Soul,2231890
100 March Cats,2845260
Boomerang Fu,965680
Dog Brew,2883280
100 Funny Cats,2881230
Zeepkist,1440670
KunKunNight,2642890
Nightmare House: The Original Mod,2954780
Jerma's Big Adventure,1722570
The House in Fata Morgana: A Requiem for Innocence,804700
My Sticker Book,2088270
Tribal Hunter,1379870
Pictopix,568320
Higurashi When They Cry Hou - Ch.2 Watanagashi,410890
Tyrion Cuthbert: Attorney of the Arcane,1590230
Promise Mascot Agency,2585830
Kindred Spirits on the Roof,402620
14 Minesweeper Variants,1865060
My succubus Kukula,2848420
Frog Detective 2: The Case of the Invisible Wizard,1047220
永冻之壳 The Shell of Permafrost,976940
Cattails: Wildwood Story,1882500
Slayers X: Terminal Aftermath: Vengance of the Slayer,1931020
Commando Collection,3059010
The Legend of Heroes: Trails from Zero,1668510
Zortch,2443360
CBT With Yuuka Kazami,1430420
Parking Garage Rally Circuit,2737300
Enigmatis 2: The Mists of Ravenwood,284770
The Procession to Calvary,1071130
Tree Simulator 2022,1591290
Cat Bait,2929730
Landlord of the Woods,1564090
HIDDEN CATS: The last of cats,2907010
Paquerette Down the Bunburrows,1628610
Cornerpond,3454590
Cats in Time,1599880
Toree 2,1722620
Scalak,858760
Adabana Odd Tales,1094820
Chicken Invaders 5,353090
JellyCar Worlds,1740930
A Sky Full of Stars 仰望夜空的星辰,745960
BROK the InvestiGator,949480
Cats Hidden in Christmas,2933990
Revue Starlight El Dorado,2849960
Shadow Burglar,1881340
The Happyhills Homicide,3278760
Reentry - A Space Flight Simulator,882140
Amairo Chocolate,1238680
Ding Dong XL,862570
Draw Puzzle 画之谜,664180
Grunn,2720950
Blackwell Epiphany,236930
Acquitted,1954750
"Save Me, Sakuya-san!",1639610
hololive Treasure Mountain,2972990
KUNKUN Defender,2902540
Lots of Cats in Every Moment,3080240
Momotype,1822190
Gnomes,3133060
Maiden and Spell,1004770
I'm on Observation Duty 4,1730360
Higurashi When They Cry Hou - Ch. 5 Meakashi,577480
Enjoy the Diner,2336980
Otome * Domain,2153330
Hook 2,1871310
The Lost Dachshund,1975120
Shogun Showdown: Prologue,2316330
Arzette: The Jewel of Faramore,1924780
Cleo - a pirate's tale,1361230
The Expression Amrilato,1044490
Countryball: Europe 1890,1834920
The Testing Chamber,1921900
Pinkman,516480
Jacksmith: Weapons and Warriors,3580580
Ithya: Magic Studies,3330250
Fear the Spotlight,1959390
Making*Lovers,1200720
A Shelter Full of Cats,3087650
Merry XMerge,2717080
The World is Your Weapon,1056490
Ducks Can Drive,2472840
The Advisor - Episode 1: Royal Pain,1601680
Teacup,1444300
Vibrant Venture,1264520
Mhakna Gramura and Fairy Bell,753220
Putt-Putt® Saves The Zoo,294660
The Spirit and the Mouse,1679210
100 Cats New York,2782380
The Crimson Diamond,1098770
Mudborne: Frog Management Sim,2355150
Mushroom Cats 2,1258310
Garry's Mod,4000
Black Myth: Wukong,2358720
The Witcher 3: Wild Hunt - Complete Edition,"292030,378649,378648"
The Witcher 3: Wild Hunt,292030
Baldur's Gate 3,1086940
Phasmophobia,739630
Undertale,391540
Doki Doki Literature Club!,698780
Fallout: New Vegas,22380
Life is Strange - Episode 1,319630
Cuphead,268910
Counter-Strike,10
Tomb Raider,203160
R.E.P.O.,3241660
American Truck Simulator,270880
Ori and the Will of the Wisps,1057090
Counter-Strike: Source,240
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,"883710,920560,920561,920562,920563,920564,920567,920568"
Inscryption,1092790
Oxygen Not Included,457140
God of War,1593500
Half-Life,70
POSTAL 2,223470
Devil May Cry 5,601150
Castle Crashers®,204360
Don't Starve,219740
Outlast,238320
Brotato,1942280
Buckshot Roulette,2835570
Marvel’s Spider-Man Remastered,1817070
Cookie Clicker,1454400
GRIS,683320
Persona 5 Royal,1687950
Dishonored - Definitive Edition,"205100,208570,208575,212893,212894"
METAL GEAR RISING: REVENGEANCE,235460
To The Moon Game and Soundtrack Bundle,"206440,206450"
To the Moon,206440
Blade and Sorcery,629730
Left 4 Dead,500
Batman: Arkham Asylum Game of the Year Edition,35140
The Planet Crafter,1284190
The Hungry Lamb: Traveling in the Late Ming Dynasty,2593370
Ultimate Chicken Horse,386940
Rivals of Aether,383980
Clone Drone in the Danger Zone,597170
Shadow Tactics: Blades of the Shogun,418240
Unheard - Voices of Crime,942970
Danganronpa: Trigger Happy Havoc,413410
Car Mechanic Simulator 2021,1190000
The Coffin of Andy and Leyley,2378900
Milk inside a bag of milk inside a bag of milk,1392820
Your Only Move Is HUSTLE,2212330
Mouthwashing,2475490
Return of the Obra Dinn,653530
Paint the Town Red,337320
Stacklands,1948280
Doki Doki Literature Club Plus!,1388880
Dorfromantik,1455840
Danganronpa 2: Goodbye Despair,413420
The Walking Dead: Season Two,261030
Universe Sandbox,230290
SIGNALIS,1262350
LIZARDS MUST DIE,2532550
Abiotic Factor,427410
The Walking Dead: The Telltale Definitive Series,1449690
DOOM + DOOM II,2280
Mini Motorways,1127500
Thronefall,2239150
Untitled Goose Game,837470
The Test,1241510
Cruelty Squad,1388770
LEGO® Star Wars™ - The Complete Saga,32440
Monster Train,1102190
Tiny Bunny,1421250
Streets of Rogue,512900
Arrow a Row,2495980
FlatOut 2,2990
Refunct,406150
missed messages.,812810
OpenTTD,1536610
Awaria,3274300
Nuclear Throne,242680
Retrowave,1239690
Metal: Hellsinger,1061910
shapez,1318690
Quake,2310
Rusty's Retirement,2666510
Mark of the Ninja,214560
FIVE NIGHTS AT FREDDY'S: HELP WANTED,732690
STAR WARS™ Jedi Knight - Jedi Academy™,6020
Superflight,732430
The Planet Crafter: Prologue,1830840
Supraland,813630
Desperados III,610370
Living With Sister: Monochrome Fantasy,2429860
The Forgotten City,874260
Tiny Rogues,2088570
Supreme Commander: Forged Alliance,9420
Kingdom Rush Frontiers - Tower Defense,458710
Kindergarten,589590
UNBEATABLE [white label],1290490
Pikuniku,572890
Little Inferno,221260
OPUS: Echo of Starsong - Full Bloom Edition,1504500
"Little Kitty, Big City",1177980
STRAFTAT,2386720
Coloring Pixels,897330
(the) Gnorp Apologue,1473350
Zup! F,601220
Like a Dragon Gaiden: The Man Who Erased His Name,2375550
Sayonara Wild Hearts,1122720
Downwell,360740
5D Chess With Multiverse Time Travel,1349230
FlyKnight,3108510
Raging Loop,648100
There Is No Game: Jam Edition 2015,1241700
Derail Valley,588030
Devil Daggers,422970
No Case Should Remain Unsolved,2676840
REFLEXIA Prototype ver.,1997680
Nightmare Kart,2930160
The Rewinder,1161170
STEINS;GATE 0,825630
Fireworks Mania - An Explosive Simulator,1079260
Recettear: An Item Shop's Tale,70400
VVVVVV,70300
Zup! X,508900
Homicipher,2302660
Spaceflight Simulator,1718870
Rusty Lake Hotel,435120
Lay a Beauty to Rest: The Darkness Peach Blossom Spring,1506980
We Become What We Behold [Fan-Made Port],1103210
Mark of the Ninja: Remastered,860950
Thank Goodness You're Here!,2366980
Songs of Syx,1162750
Insaniquarium Deluxe,3320
Bit Blaster XL,433950
Rusted Warfare - RTS,647960
WitchSpring R,1958220
Glass Masquerade,511470
Higurashi When They Cry Hou - Ch.1 Onikakushi,310360
Bejeweled® 3,78000
Rooftops & Alleys: The Parkour Game,2703850
GUILTY GEAR XX ACCENT CORE PLUS R,348550
Hexcells,265890
The Jackbox Party Pack 3,434170
Sticky Business,2303350
Boneraiser Minions,1944570
Meteor 60 Seconds!,788770
YOU and ME and HER: A Love Story,1293820
Rakuen,559210
Ages of Conflict: World War Simulator,2186320
PAC-MAN™ Championship Edition DX+,236450
The Pedestrian,466630
SUPER CHICKEN JUMPER,584640
Incredibox,1545450
I commissioned some bees 0,2250060
Pilgrims,1049280
Defense Grid: The Awakening,18500
klocki,499440
[Nightmare Files] Clap Clap,2933290
Tails Noir: Prologue,992310
Hypnospace Outlaw,844590
Bang-On Balls: Chronicles,1227650
Cinderella Phenomenon - Otome/Visual Novel,568770
"STAR WARS™ Battlefront (Classic, 2004)",1058020
Creeper World 3: Arc Eternal,280220
Turing Complete,1444480
LiEat,373770
The Jackbox Party Pack 7,1211630
One Finger Death Punch 2,980300
Nightmare of Decay,1848450
I Was a Teenage Exocolonist,1148760
Kill It With Fire,1179210
DISTRAINT 2,743390
Civilization IV: Beyond the Sword,8800
Arctic Eggs,2763670
Mitoza,1516240
DRAMAtical Murder,1481080
RED HOT VENGEANCE,1058640
Cobalt Core,2179850
Total Annihilation,298030
Voidigo,1304680
Supraland Six Inches Under,1522870
Heavenly Bodies,1138850
Orbt XL,615610
Freedom Planet,248310
Minds Beneath Us,1610440
Spooky's Jump Scare Mansion: HD Renovation,577690
X-COM: UFO Defense,7760
Dream Ending,944020
Birth,1889040
Northern Journey,1639790
ANTONBLAST,1887400
Primordia,227000
Yoku's Island Express,334940
Some Some Convenience Store,1217390
Shadows Over Loathing,1939160
Fate/stay night REMASTERED,2396980
Muv-Luv Alternative,802890
Duck Simulator 2,1808800
Windowkill,2726450
Progressbar95,1304550
Star of Providence,603960
Magical Girl Celesphonia,1786790
Serious Sam Classic: The First Encounter,41050
The Curse of Monkey Island,730820
Later Alligator,966320
Noel the Mortal Fate S1-7,850000
Dystopika,2379910
"If On A Winter's Night, Four Travelers",1603980
Trick & Treat,497640
Peggle™ Nights,3540
Love Delivery,1817940
Doom & Destiny,318130
Epic Battle Fantasy 3,521200
pureya,1268960
Project Arrhythmia,440310
Songs for a Hero - Definitive Edition,389170
My Friendly Neighborhood,1574260
Beyond Citadel,3371240
News Tower,1649950
Life Goes On: Done to Death,250050
Moonring,2373630
a new life.,1297160
Geometry Arena,1255650
Slice & Dice,1775490
Rolling Line,754150
The Life and Suffering of Sir Brante — Chapter 1&2,1460090
Wandersong,530320
NUKITASHI,2399220
Snezhinka:Sentinel Girls2,2608350
Cookard,2919650
PUMPKIN PANIC,3177920
Wylde Flowers,1896700
A Summer's End - Hong Kong 1986,1111370
Choice of Robots,339350
The Political Process,1184770
Ropuka's Idle Island,3416070
The Crown of Leaves,604330
Warsim: The Realm of Aslona,659540
House,1444350
Labyrinth City: Pierre the Maze Detective,1421790
Spark the Electric Jester 3,1629530
Majotori,588730
Our Adventurer Guild,2026000
Micro Platformer,1283130
Galaxy Burger,2749770
Zeus + Poseidon,566050
Shipwrecked 64,2160220
DYO,791470
Mushroom Cats,1071120
Jet Island,587220
Lunistice,1701800
Serious Sam Classic: The Second Encounter,41060
Super Kiwi 64,1949960
Love Curse: Find Your Soulmate,3069120
Poly Bridge 3,1850160
Squirrel Stapler,2535830
My Brother Rabbit,855640
Kitty Powers' Matchmaker,285740
The Farmer Was Replaced,2060160
Angels with Scaly Wings™ / 鱗羽の天使,571880
Gun Devil,1287040
HOLE,2971610
Master of Orion 2,410980
Lords of the Realm II,397350
Arco,2366970
The Ditzy Demons Are in Love With Me,802870
Super House of Dead Ninjas,224820
Freedom Planet 2,595500
The Darkside Detective: A Fumble in the Dark,795420
NoLimits 2 Roller Coaster Simulation,301320
POPGOES Arcade,1986840
STEINS;GATE: My Darling's Embrace,970560
Roman's Christmas / 罗曼圣诞探案集,926340
RetroMaze,852110
Stephen's Sausage Roll,353540
Utawarerumono: Mask of Truth,1151440
Love at First Sight,353330
STONKS-9800: Stock Market Simulator,1539140
Mushihimesama,377860
Four Last Things,503400
EXAPUNKS,716490
Islets,1669420
Last Train Outta' Wormtown,2318480
URBO: Dream One,2529130
東方幕華祭 TouHou Makuka Sai ~ Fantastic Danmaku Festival,882710
The Baby In Yellow,2291340
Tametsi,709920
Kinkoi: Golden Loveriche,1277940
Football Coach: College Dynasty,2151290
Ultra Fight Da ! Kyanta 2,1026840
PockeDate! - Pocket Dating Simulator,3107350
I Expect You To Die 2: The Spy and the Liar,1499120
Mars First Logistics,1532200
Tiny Terry's Turbo Trip,2238040
The Inn-Sanity,2688570
Gori: Cuddly Carnage,1299690
Vangers,264080
Shotgun Witch,1435310
Children of Silentown: Prologue,1451740
McPixel 3,1338580
SLUDGE LIFE 2,2275150
Indie Game: The Movie,207080
Meg's Monster,1783360
Touhou Artificial Dream in Arcadia,2248430
ElecHead,1456880
STEINS;GATE: Linear Bounded Phenogram,930910
D'LIRIUM,670160
Withering Rooms,2006140
Spring Falls,1040550
Linelight,469790
Disney•Pixar WALL-E,331750
Love Love School Days,1305300
Five Nights At Floppa,1878740
My Child Lebensborn Remastered,2430730
Flatworld,1296540
NEKO-NIN exHeart,407310
Symphonic Rain,629650
Creeper World: Anniversary Edition,422910
Red Planet Farming,1288170
Duelists of Eden,1664200
Kemono Friends Cellien May Cry,1962920
Rocket Rats,3069810
One Dreamer: Prologue,1274140
Levelhead: Platformer Maker,792710
Priest Simulator: Heavy Duty,1675670
Fatum Betula,1281270
Fursan al-Aqsa: The Knights of the Al-Aqsa Mosque,1714420
Adventure of a Lifetime,820730
DEAD LETTER DEPT.,1627350
Sumire,1335230
Hidden & Dangerous 2: Courage Under Fire,703320
NO-SKIN,3011030
Kitsune Tails,1325260
Lilith Wants to Buy Your Soul,2266820
Iron Meat,1157740
Golden Treasure: The Great Green,1065100
Antonball Deluxe,1382320
Escape from Ever After: Onboarding,2789420
GYLT,2206210
I'm on Observation Duty 5,1850550
Staffer Reborn,2658920
MetaWare High School (Demo),1194740
The Symbiant,1883090
Master of Magic Classic,1146370
Super Ledgehop: Double Laser,787070
Super Mombo Quest,1262040
Rain on Your Parade,1213230
SeaBed,583090
Zup! Q,2206560
Nuclear Blaze,1662480
Hexologic,785890
Tree Simulator 2023,1916970
Cryptis,2421370
The Last Clockwinder,1755100
Shatter,20820
Higurashi When They Cry Hou - Ch.4 Himatsubushi,526490
Streets of Fury EX,350910
Vermillion - VR Painting,1608400
A Good Snowman Is Hard To Build,316610
XENOTILT: HOSTILE PINBALL ACTION,2008980
The Heroes Around Me,1768470
Spice&Wolf VR2,1348700
HOPE LEFT ME,2268470
Zombie Estate 2,512490
Gooba Ball,2878140
Hypnagogia 無限の夢 Boundless Dreams,1665500
Disillusion,1490060
Shipped,1037190
Promenade,1781260
Hex of Steel,1240630
Vampire Therapist,2481020
The Norwood Suite,696480
Draw,2473980
100 Waiting Cats,3037060
Regency Solitaire,351090
Tonight We Riot,290690
HackHub: Free Trial,3022810
Lazerbait,529150
Broken Sword - Shadow of the Templars: Reforged,2544110
Lakeview Cabin 2,1291790
Higurashi When They Cry Hou - Ch.7 Minagoroshi,1034940
Bleed 2,396350
Cube Chaos,1958340
The Forest,242760
Dying Light,239140
Don't Starve Together,322330
Sekiro™: Shadows Die Twice - GOTY Edition,814380
Titanfall® 2,1237970
It Takes Two,1426210
It Takes Two Friend's Pass,1426210
Divinity: Original Sin 2 - Definitive Edition,435150
Detroit: Become Human,1222140
DOOM,379720
Sid Meier's Civilization® V,8930
Black Mesa,362890
Kerbal Space Program,220200
Teardown,1167630
Cult of the Lamb,1313140
Age of Empires II (Retired),221380
Kenshi,233860
Resident Evil Village,1196590
CarX Drift Racing Online,635260
Enter the Gungeon,311690
Noita,881100
Outer Wilds,753640
Clair Obscur: Expedition 33,1903340
Beat Saber,620980
Resident Evil 7 Biohazard,418370
